Date,Open,High,Low,Close*,Adj Close**,Volume
"Jan 31, 2023",22840.80,23225.02,22765.57,23139.28,23139.28,22837828665
"Jan 30, 2023",23774.65,23789.35,22657.58,22840.14,22840.14,27205595568
"Jan 29, 2023",23031.45,23919.89,22985.07,23774.57,23774.57,27423687259
"Jan 28, 2023",23079.96,23165.90,22908.85,23031.09,23031.09,14712928379
"Jan 27, 2023",23030.72,23417.72,22654.59,23078.73,23078.73,25383335641
"Jan 26, 2023",23108.96,23237.08,22911.37,23032.78,23032.78,26357839322
"Jan 25, 2023",22639.27,23722.10,22406.08,23117.86,23117.86,30685366709
"Jan 24, 2023",22929.63,23134.01,22549.74,22636.47,22636.47,26405069715
"Jan 23, 2023",22721.09,23126.49,22654.30,22934.43,22934.43,26518700512
"Jan 22, 2023",22777.99,23056.73,22387.90,22720.42,22720.42,24746386230
"Jan 21, 2023",22677.43,23282.35,22511.83,22777.63,22777.63,32442278429
"Jan 20, 2023",21085.37,22692.36,20919.13,22676.55,22676.55,28799154319
"Jan 19, 2023",20686.75,21163.01,20685.38,21086.79,21086.79,21152848261
"Jan 18, 2023",21161.05,21564.50,20541.54,20688.78,20688.78,30005625418
"Jan 17, 2023",21175.83,21438.66,20978.53,21161.52,21161.52,24999983362
"Jan 16, 2023",20882.22,21360.88,20715.75,21169.63,21169.63,26792494050
"Jan 15, 2023",20977.48,20993.75,20606.99,20880.80,20880.80,19298407543
"Jan 14, 2023",19910.54,21075.14,19907.83,20976.30,20976.30,38967784639
"Jan 13, 2023",18868.91,19964.32,18753.16,19909.57,19909.57,29225029694
"Jan 12, 2023",18117.59,19030.09,17995.20,18869.59,18869.59,34971338710
"Jan 11, 2023",17446.36,17934.90,17337.99,17934.90,17934.90,18372283782
"Jan 10, 2023",17192.95,17484.72,17162.99,17446.29,17446.29,15808338949
"Jan 09, 2023",17093.99,17389.96,17093.99,17196.55,17196.55,18624736866
"Jan 08, 2023",16954.15,17091.14,16924.05,17091.14,17091.14,9768827914
"Jan 07, 2023",16952.12,16975.02,16914.19,16955.08,16955.08,7714767174
"Jan 06, 2023",16836.47,16991.99,16716.42,16951.97,16951.97,14413662913
"Jan 05, 2023",16863.47,16884.02,16790.28,16836.74,16836.74,13692758566
"Jan 04, 2023",16680.21,16964.59,16667.76,16863.24,16863.24,18421743322
"Jan 03, 2023",16688.85,16760.45,16622.37,16679.86,16679.86,13903079207
"Jan 02, 2023",16625.51,16759.34,16572.23,16688.47,16688.47,12097775227
"Jan 01, 2023",16547.91,16630.44,16521.23,16625.08,16625.08,9244361700
